"","plot.id","easting","northing","disp","ivfr","phau","scam","sppa","band2","band3","band4","band5","ndvi","evi","ndwi","savi"
"87",104,365867.7192,4304020.595,0,0,6,0,0,251,504,389,1942,0.666237666237666,1.62277951933124,-0.58789860997547,0.998713826366559
"88",105,365872.9074,4304006.135,0,0,6,0,0,251,504,389,1942,0.666237666237666,1.62277951933124,-0.58789860997547,0.998713826366559
"89",106,365873.412,4304004.994,0,0,6,0,0,251,504,389,1942,0.666237666237666,1.62277951933124,-0.58789860997547,0.998713826366559
"90",107,365872.3018,4304004.768,0,0,6,0,0,251,504,389,1942,0.666237666237666,1.62277951933124,-0.58789860997547,0.998713826366559
"91",108,365871.2485,4304005.299,0,0,6,0,0,251,504,389,1942,0.666237666237666,1.62277951933124,-0.58789860997547,0.998713826366559
"92",112,365875.4012,4303983.08,0,3,6,1,0,247,449,335,1918,0.702618730581447,1.90768859966257,-0.620616814533164,1.05322687957419
"93",113,365872.9946,4303959.377,0,3,6,1,0,259,465,357,2323,0.733582089552239,1.94923656553639,-0.666427546628407,1.09975759835913
"94",114,365872.7908,4303958.4,0,3,6,1,0,259,465,357,2323,0.733582089552239,1.94923656553639,-0.666427546628407,1.09975759835913
"95",115,365871.7695,4303958.268,0,3,6,1,0,259,465,357,2323,0.733582089552239,1.94923656553639,-0.666427546628407,1.09975759835913
"96",115,365871.7695,4303958.268,6,4,0,3,1,259,465,357,2323,0.733582089552239,1.94923656553639,-0.666427546628407,1.09975759835913
"97",116,365871.7652,4303959.212,0,3,6,1,0,259,465,357,2323,0.733582089552239,1.94923656553639,-0.666427546628407,1.09975759835913
"98",116,365871.7652,4303959.212,6,4,0,3,1,259,465,357,2323,0.733582089552239,1.94923656553639,-0.666427546628407,1.09975759835913
"99",117,365872.6521,4303932.442,6,4,0,3,1,270,468,372,2275,0.718927087268606,1.91757355904877,-0.658767772511848,1.07777987540117
"100",117,365872.6521,4303932.442,4,5,0,3,4,270,468,372,2275,0.718927087268606,1.91757355904877,-0.658767772511848,1.07777987540117
"101",118,365872.7915,4303931.373,4,5,0,3,4,270,468,372,2275,0.718927087268606,1.91757355904877,-0.658767772511848,1.07777987540117
"102",119,365871.7657,4303931.319,4,5,0,3,4,270,468,372,2275,0.718927087268606,1.91757355904877,-0.658767772511848,1.07777987540117
"103",120,365871.4759,4303932.034,6,4,0,3,1,270,468,372,2275,0.718927087268606,1.91757355904877,-0.658767772511848,1.07777987540117
"104",120,365871.4759,4303932.034,4,5,0,3,4,270,468,372,2275,0.718927087268606,1.91757355904877,-0.658767772511848,1.07777987540117
"105",123,365873.8944,4303910.688,4,5,0,3,4,270,468,372,2275,0.718927087268606,1.91757355904877,-0.658767772511848,1.07777987540117
"106",124,365873.4502,4303911.352,4,5,0,3,4,270,468,372,2275,0.718927087268606,1.91757355904877,-0.658767772511848,1.07777987540117
"107",127,365873.725,4303891.522,1,0,6,2,0,285,497,412,2348,0.701449275362319,1.80495991049786,-0.650615114235501,1.05160239000543
"108",128,365873.6726,4303892.774,1,0,6,2,0,285,497,412,2348,0.701449275362319,1.80495991049786,-0.650615114235501,1.05160239000543
"109",133,365863.9547,4304029.453,0,0,6,0,0,219,395,285,1326,0.646182495344507,1.8689407540395,-0.540964555490994,0.968372093023256
"110",134,366049.9286,4304351.309,0,0,0,0,5,246,433,265,2975,0.83641975308642,2.49172489885988,-0.745892018779343,1.25404905136511
"111",135,366048.895,4304351.568,0,0,0,0,5,246,433,265,2975,0.83641975308642,2.49172489885988,-0.745892018779343,1.25404905136511
"112",136,366048.9841,4304352.206,0,0,0,0,5,246,433,265,2975,0.83641975308642,2.49172489885988,-0.745892018779343,1.25404905136511
"113",137,366049.901,4304352.119,0,0,0,0,5,246,433,265,2975,0.83641975308642,2.49172489885988,-0.745892018779343,1.25404905136511
"114",138,366068.529,4304353.233,0,0,0,0,5,294,472,299,3225,0.830306469920545,2.6004265908283,-0.744657830673519,1.24492979719189
"115",143,366084.8868,4304349.917,0,0,3,0,4,294,472,299,3225,0.830306469920545,2.6004265908283,-0.744657830673519,1.24492979719189
"116",147,366098.5524,4304344.078,4,6,2,0,4,305,549,410,2797,0.744309323355161,2.01027454943574,-0.671846981470412,1.11594202898551
"117",150,366134.8949,4304339.048,0,3,5,0,0,292,475,375,2550,0.743589743589744,2.08413185128402,-0.685950413223141,1.1148129164531
"118",150,366134.8949,4304339.048,0,0,6,0,0,292,475,375,2550,0.743589743589744,2.08413185128402,-0.685950413223141,1.1148129164531
"119",151,366133.9299,4304339.253,0,3,5,0,0,292,475,375,2550,0.743589743589744,2.08413185128402,-0.685950413223141,1.1148129164531
"120",151,366133.9299,4304339.253,0,0,6,0,0,292,475,375,2550,0.743589743589744,2.08413185128402,-0.685950413223141,1.1148129164531
"121",152,366133.8742,4304340.146,0,0,6,0,0,292,475,375,2550,0.743589743589744,2.08413185128402,-0.685950413223141,1.1148129164531
"122",153,366134.878,4304339.86,0,3,5,0,0,292,475,375,2550,0.743589743589744,2.08413185128402,-0.685950413223141,1.1148129164531
"123",153,366134.878,4304339.86,0,0,6,0,0,292,475,375,2550,0.743589743589744,2.08413185128402,-0.685950413223141,1.1148129164531
"124",154,366145.9808,4304339.248,0,3,5,0,0,292,475,375,2550,0.743589743589744,2.08413185128402,-0.685950413223141,1.1148129164531
"125",155,366144.7618,4304339.453,0,3,5,0,0,292,475,375,2550,0.743589743589744,2.08413185128402,-0.685950413223141,1.1148129164531
"126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128",4,365671.937,4303961.435,0,3,0,4,6,259,435,439,1869,0.619584055459272,1.39675717913655,-0.622395833333333,0.928772461571769
"129",4,365671.937,4303961.435,4,1,0,4,5,259,435,439,1869,0.619584055459272,1.39675717913655,-0.622395833333333,0.928772461571769
"130",5,365672.2157,4303960.269,0,3,0,4,6,259,435,439,1869,0.619584055459272,1.39675717913655,-0.622395833333333,0.928772461571769
"131",5,365672.2157,4303960.269,4,1,0,4,5,259,435,439,1869,0.619584055459272,1.39675717913655,-0.622395833333333,0.928772461571769
"132",6,365671.2172,4303960.091,0,3,0,4,6,259,435,439,1869,0.619584055459272,1.39675717913655,-0.622395833333333,0.928772461571769
"133",6,365671.2172,4303960.091,4,1,0,4,5,259,435,439,1869,0.619584055459272,1.39675717913655,-0.622395833333333,0.928772461571769
"134",7,365670.982,4303961.041,0,3,0,4,6,259,435,439,1869,0.619584055459272,1.39675717913655,-0.622395833333333,0.928772461571769
